species	full_name	synonyms	category	taxid	disease_en	disease_cn	evidence_level	evidence_refs_raw	sequence_status	sequence_count	accessions	missing_reason	notes
Trichoderma asperellum	Trichoderma asperellum		fungi	101201	ear rot	穗腐病	confirmed	Wang W, Xiao S, Que F, et al. Maize Knows Friends or Foes? The Dark Side of Trichoderma asperellum as a Maize Ear Rot Pathogenic Fungus[J]. Plant Biotechnology Journal, 2026, 24(4): 2701-2703.	present	43	PX599544.1; PZ623881.1; PZ623918.1; PZ625986.1; PZ660808.1; PZ671385.1; PZ673735.1; PZ674016.1; PZ675096.1; PZ694441.1; PZ702501.1; PZ702504.1; PZ702509.1; PZ702510.1; PZ702511.1; PZ702512.1; PZ708500.1; PZ710498.1; PZ711025.1; PZ711027.1; PZ711390.1; PZ712057.1; PZ713279.1; PZ722104.1; PZ723407.1; PZ728837.1; PZ728846.1; PZ728849.1; PZ737013.1; PZ741003.1; PZ756708.1; PZ764224.1; PZ766098.1; PZ768890.1; PZ770416.1; PZ770420.1; PZ770676.1; PZ770678.1; PZ770854.1; PZ779474.1; PZ794737.1; PZ799364.1; PZ806572.1		
Trichoderma hamatum	Trichoderma hamatum		fungi	49224	first-internode lesions	第一节间病斑	confirmed	McFadden A G, Sutton J C. Relationships of populations of Trichoderma spp. in soil to disease in maize[J]. Canadian journal of plant science, 1975, 55(2): 579-586. Sobowale A A, Odebode A C, Cardwell K F, et al. Antagonistic potential of Trichoderma longibrachiatum and T. hamatum resident on maize (Zea mays) plant against Fusarium verticillioides (Nirenberg) isolated from rotting maize stem[J]. Archives of Phytopathology and Plant protection, 2010, 43(8): 744-753.	present	43	MH864072.1; MH864073.1; PV888651.1; PV888653.1; PV888660.1; PX599330.1; PX645240.1; PX645241.1; PX657260.1; PX666104.1; PX675709.1; PX675710.1; PX675711.1; PX682136.1; PX682137.1; PX682830.1; PX691022.1; PX735309.1; PX735314.1; PX735346.1; PX740617.1; PX998388.1; PX998405.1; PZ126668.1; PZ142469.1; PZ142665.1; PZ159291.1; PZ159292.1; PZ159293.1; PZ167680.1; PZ167911.1; PZ242150.1; PZ245939.1; PZ327791.1; PZ350447.1; PZ350448.1; PZ364844.1; PZ436250.1; PZ436251.1; PZ623436.1; PZ672145.1; PZ724265.1; PZ782790.1		
Trichoderma harzianum	Trichoderma harzianum		fungi	5544	Trichoderma ear rot	木霉穗腐病	confirmed	Harish J, Prasannakumar M K, Karan R, et al. Trichoderma spp. as a novel pathogen for maize post-flowering stalk rot in India[J]. Crop Protection, 2025, 195: 107255.	present	43	MT012289.1; MT012290.1; MT012291.1; MT012292.1; MT012293.1; MT012294.1; PX071337.1; PX071338.1; PX071374.1; PX071375.1; PX071377.1; PX071435.1; PZ695455.1; PZ702505.1; PZ702506.1; PZ702508.1; PZ711018.1; PZ711416.1; PZ724289.1; PZ724290.1; PZ728820.1; PZ728848.1; PZ728850.1; PZ728852.1; PZ730058.1; PZ730060.1; PZ730063.1; PZ730077.1; PZ730079.1; PZ730082.1; PZ768224.1; PZ768227.1; PZ768228.1; PZ768229.1; PZ770558.1; PZ789688.1; PZ789693.1; PZ789695.1; PZ789698.1; PZ798431.1; PZ810687.1; PZ818910.1; PZ832392.1		
Trichoderma koningii	Trichoderma koningii		fungi	97093	first-internode lesions	第一节间病斑	confirmed	SUTTON J C. Trichoderma koningii as a parasite of maize seedlings[J]. Canadian journal of plant science, 1972, 52(6): 1037-1042.	present	43	KX109155.1; KX109179.1; MH862585.1; MW929147.1; MZ950659.1; OR350475.1; PQ113582.1; PQ220192.1; PQ302259.1; PQ555724.1; PQ555726.1; PQ764474.1; PQ771098.1; PQ787510.1; PQ800339.1; PQ821175.1; PV050431.1; PV154043.1; PV154120.1; PV437575.1; PV565346.1; PV802852.1; PV873394.1; PV995430.1; PX060177.1; PX226012.1; PX317596.1; PX317599.1; PX381333.1; PX421018.1; PX446866.1; PX451862.1; PX498482.1; PX629750.1; PX916279.1; PX928012.1; PZ014349.1; PZ039110.1; PZ205986.1; PZ245941.1; PZ336165.1; PZ499068.1; PZ789697.1		
Trichoderma roseum /Trichothecium roseum	Trichoderma roseum /Trichothecium roseum		fungi	47278	Pink ear rot (pink mold)/Fusarium verticillioides ear rot	粉红穗腐病/粉红霉病/拟轮枝穗腐病	confirmed	Xue C S, Xu J N, Sun J Y, et al. First report of Trichothecium roseum causing maize (Zea mays) ear rot in Northern China[J]. Plant Disease, 2016, 100(11): 2324-2324.	present	43	MH856757.1; MH856758.1; PP844263.1; PQ800245.1; PV107790.1; PV157059.1; PV157138.1; PV195202.1; PV206824.1; PV243909.1; PV291701.1; PV407442.1; PV422738.1; PV492220.1; PV581214.1; PV602682.1; PV791371.1; PV804305.1; PV871555.1; PV987532.1; PV987533.1; PV987534.1; PV987535.1; PV987536.1; PV987581.1; PV987582.1; PV987583.1; PV987778.1; PX091361.1; PX248752.1; PX287182.1; PX362643.1; PX369682.1; PX446869.1; PX461609.1; PX461610.1; PX740769.1; PX900287.1; PX945612.1; PX973262.1; PX999736.1; PZ142463.1; PZ191639.1		
Trichoderma viride	Trichoderma viride		fungi	5547	Trichoderma ear rot	木霉穗腐病	confirmed	Robertson, A. 2004. Corn Ear Rots. Iowa State University IPM.IC-492(21) [October 4, 2004] Available at https://lib.dr.iastate.edu/cgi/viewcontent.cgi?referer=https://www.google.com/&httpsredir=1&article=2505&context=cropnews [URL verified 3/28/2019].	present	43	MH864422.1; PV107899.1; PV108058.1; PV108060.1; PV108080.1; PV498707.1; PV498723.1; PV498724.1; PX421016.1; PX802429.1; PX833676.1; PX884401.1; PX884403.1; PX963634.1; PX998407.1; PZ051871.1; PZ051872.1; PZ122430.1; PZ126052.1; PZ205994.1; PZ245943.1; PZ251479.1; PZ251720.1; PZ273141.1; PZ337691.1; PZ365782.1; PZ369081.1; PZ406402.1; PZ436253.1; PZ436254.1; PZ462610.1; PZ462611.1; PZ465985.1; PZ528930.1; PZ542777.1; PZ556295.1; PZ660809.1; PZ675158.1; PZ702502.1; PZ702507.1; PZ779483.1; PZ799365.1; PZ805006.1		
Ustilaginoidea virens	Ustilaginoidea virens		fungi	1159556	False smut	假黑粉病	confirmed	Gohel N M, Patil R K, Pandey R N, et al. A NEW REPORT ON OCCURRENCE OF FALSE HEAD SMUT [USTILAGINOIDEA VIRENS (COOKE) TAKAHASHI] OF MAIZE (ZEA MAYS L.) FROM GUJARAT, INDIA[J]. Bioscan (Suppl Plant Pathol), 2014, 9(3): 1147-1149.	present	43	OQ645537.1; OQ645538.1; OQ645540.1; OQ645541.1; OQ645542.1; OQ645543.1; OQ645544.1; OQ645545.1; OQ645546.1; OQ645548.1; OQ645549.1; PP800271.1; PP972763.1; PP972764.1; PP972765.1; PP972766.1; PP972767.1; PP972768.1; PP972769.1; PP972770.1; PP972771.1; PQ656350.1; PQ780755.1; PQ780756.1; PQ780757.1; PQ780758.1; PQ780759.1; PV464054.1; PV581597.1; PX056884.1; PX775585.1; PX775586.1; PZ441335.1; PZ441354.1; PZ447652.1; PZ447655.1; PZ447656.1; PZ448556.1; PZ448627.1; PZ448630.1; PZ585080.1; PZ711415.1; PZ770853.1		
Waitea zeae (Rhizoctonia zeae)	Waitea zeae/Rhizoctonia zeae	Rhizoctonia zeae	fungi	49569	Banded leaf and sheath blight	玉米纹枯病	confirmed	Gambhir N, Kodati S, Adesemoye A O, et al. Fungicide Sensitivity and Nontarget Site Resistance in Rhizoctonia zeae Isolates Collected from Corn and Soybean Fields in Nebraska[J]. Plant Disease, 2025, 109(1): 217-227.	present	43	KC590518.1; KC590587.1; KC620576.1; KC620577.1; KC620578.1; KC620580.1; KC620581.1; KC620582.1; KC620583.1; KC709579.1; KC993833.1; KJ623714.1; KJ623715.1; KJ868081.1; KP736172.1; KP736183.1; KP736184.1; KP736185.1; KP736186.1; KP736187.1; KT362085.1; KT362089.1; KT362109.1; KT362131.1; KX118368.1; KX118374.1; KX118387.1; KX118388.1; MK817577.1; MK817602.1; MN160231.1; MN160232.1; MN160233.1; MN160234.1; MN160240.1; MN160242.1; MN160250.1; MN160251.1; MN160253.1; MT874894.1; PQ962814.1; PQ962815.1; PQ962816.1		
Xepiculopsis graminea/Myrothecium gramineum	Xepiculopsis graminea/Myrothecium gramineum		fungi	226117	Shuck rot	苞叶腐烂病	confirmed	NYVALL R F. Field Crop Diseases. 3rd ed. Ames: Iowa State University Press, 1999.	present	39	AY254151.1; FJ235084.1; FJ825374.1; GQ373154.1; HQ608010.1; JQ936265.1; JQ936266.1; JX077058.1; JX077063.1; JX406554.1; JX868793.1; KF414681.1; KJ780796.1; KY591776.1; LS483744.1; LS483783.1; LS483784.1; LS483788.1; LS483935.1; LS483949.1; LS484211.1; LS484218.1; MF327243.1; MF449215.1; MG988390.1; MH173809.1; MH173819.1; MH809373.1; MK304398.1; MK720190.1; MN202731.1; MN614058.1; MZ919500.1; OL347751.1; OL454703.1; OM057628.1; OM670094.1; OP303281.1; PQ381801.1		
Globisporangium irregulare (Pythium irregulare)	Globisporangium irregulare/Pythium irregulare	Pythium irregulare	oomycetes	36331	Maize Seedling Root Rots	玉米根腐苗枯病	confirmed	Munkvold G P, White D G. Compendium of corn diseases[M]. 2016. 王晓鸣等. 玉米病害和病原名称整理及其汉译名称规范化探讨. 《中国农业科学》,2022.	present	43	AB107995.1; AB107996.1; AB107997.1; AB107998.1; AB107999.1; AB108000.1; AB108001.1; AB108003.1; AB108004.1; AB108005.1; AY598702.2; LC858064.1; OL342596.1; OL952624.1; OR194729.1; OR194752.1; OR194753.1; OR259033.1; PP789600.1; PP817565.1; PP835986.1; PP844717.1; PP844848.1; PP844890.1; PP965682.1; PP965683.1; PP965684.1; PQ216304.1; PQ331059.1; PQ331060.1; PQ331061.1; PQ895788.1; PV776018.1; PV776019.1; PV777972.1; PV777973.1; PX394239.1; PX394240.1; PX972522.1; PZ445155.1; PZ445157.1; PZ445161.1; PZ782685.1		
Globisporangium rostratum (Pythium rostratum )	Globisporangium rostratum/Pythium rostratum	Pythium rostratum	oomycetes	2711123	Maize Seedling Root Rots	玉米根腐苗枯病	confirmed	Munkvold G P, White D G. Compendium of corn diseases[M]. 2016. 王晓鸣等. 玉米病害和病原名称整理及其汉译名称规范化探讨. 《中国农业科学》,2023.	present	12	AB468775.1; AF310335.1; AJ233456.1; AY598696.2; AY753573.1; DQ648134.1; GU258606.1; HQ643767.1; MF446697.1; MK330686.1; MT084526.1; MT084527.1		
Peronosclerospora heteropogonis	Peronosclerospora heteropogonis		oomycetes	467162	Rajasthan downy mildew	拉贾斯坦霜霉病	confirmed	MATHUR K, TRIVEDI A, RATHORE R S. Assessment of losses caused by Peronosclerospora heteropogoni, incitant of downy mildew of Maize[J]. 2006.	missing	0		No public marker gene sequence found in NCBI GenBank (2026-08-25)	
Peronosclerospora maydis	Peronosclerospora maydis		oomycetes	886949	Java downy mildew	爪哇霜霉病	confirmed	Ramsey M D, Jones D R. Peronosclerospora maydis found on maize, sweetcorn and plume sorghum in Far North Queensland[J]. Plant pathology, 1988, 37(4): 581-587.	present	16	HM236840.1; HM236841.1; LC128602.1; LC128608.1; LC128612.1; LC128619.1; LC128620.1; LC322282.1; LC537855.1; LC537862.1; LC537863.1; LC537870.1; LC537872.1; PZ301870.1; PZ301871.1; PZ301872.1		
Peronosclerospora miscanthi	Peronosclerospora miscanthi		oomycetes	1081076	Leaf splitting downy mildew	裂叶霜霉病	confirmed	Crouch J A, Davis W J, Shishkoff N, et al. Peronosporaceae species causing downy mildew diseases of Poaceae, including nomenclature revisions and diagnostic resources[J]. Fungal Systematics and Evolution, 2022, 9(1): 43-86.	present	1	KX721500.1		
Peronosclerospora philippinensis	Peronosclerospora philippinensis		oomycetes	886948	Downy Mildews	霜霉病	confirmed	Telle S, Shivas R G, Ryley M J, et al. Molecular phylogenetic analysis of Peronosclerospora (Oomycetes) reveals cryptic species and genetically distinct species parasitic to maize[J]. European Journal of Plant Pathology, 2011, 130(4): 521-528.	present	23	HM236833.1; HM236844.1; HM236845.1; HM236846.1; JF754978.1; KR047735.1; KR047736.1; KR047737.1; KR047738.1; KX252750.1; KX252751.1; KX252752.1; KX252753.1; KX252754.1; KX252755.1; KX252756.1; KX252757.1; KX252758.1; KX252759.1; KX252760.1; KX252761.1; KX252762.1; KX252763.1		
Peronosclerospora sacchari	Peronosclerospora sacchari		oomycetes	467161	Sugarcane downy mildew	禾黍霜霉病	confirmed	Yao C, Magill C W, Frederiksen R A, et al. Detection and identification of Peronosclerospora sacchari in maize by DNA hybridization[J]. Phytopathology, 1991, 81(8): 901-905.	present	3	HM236836.1; HM236847.1; JF754979.1		
Peronosclerospora sorghi	Peronosclerospora sorghi		oomycetes	230839	Sorghum downy mildew (infects maize)	高粱霜霉病(侵染玉米)	confirmed	Adenle V O, Cardwell K F. Seed transmission of maize downy mildew (Peronosclerospora sorghi) in Nigeria[J]. Plant pathology, 2000, 49(5): 628-634.	present	2	HM236843.1		
Peronosclerospora spontanea	Peronosclerospora spontanea		oomycetes	NOT_VERIFIED	Spontaneum downy mildew	自发霜霉病	confirmed	Crouch J A, Davis W J, Shishkoff N, et al. Peronosporaceae species causing downy mildew diseases of Poaceae, including nomenclature revisions and diagnostic resources[J]. Fungal Systematics and Evolution, 2022, 9(1): 43-86. | NCBI Taxonomy 未收录 Peronosclerospora spontanea	missing	0		TaxID NOT_VERIFIED; no marker sequence linked	TAXID_PENDING; NCBI Taxonomy query 2026-08-25 found no exact match
Pythium acanthicum	Pythium acanthicum		oomycetes	65069	Maize Seedling Root Rots	玉米根腐苗枯病	confirmed	Munkvold G P, White D G. Compendium of corn diseases[M]. 2016. 王晓鸣等. 玉米病害和病原名称整理及其汉译名称规范化探讨. 《中国农业科学》,2020.	present	40	AY598617.2; KX423753.1; MG799207.1; MK794821.1; MK794855.1; MK794863.1; MK794871.1; MK794887.1; MK794917.1; MK794969.1; MK795060.1; MT758167.1; MT758168.1; MT758169.1; MT758170.1; MT758181.1; MT758182.1; MW426378.1; MW489839.1; OL468023.1; OL468024.1; OL468036.1; OL661627.1; ON306886.1; ON306887.1; ON306888.1; ON306902.1; ON306903.1; ON860611.1; OR120575.1; OR120577.1; OR120632.1; OR120633.1; OR120679.1; OR120793.1; OR643500.1; OR643519.1; OR643520.1; PP817326.1		
Pythium adhaerens	Pythium adhaerens		oomycetes	289596	Maize Seedling Root Rots	玉米根腐苗枯病	confirmed	Munkvold G P, White D G. Compendium of corn diseases[M]. 2016. 王晓鸣等. 玉米病害和病原名称整理及其汉译名称规范化探讨. 《中国农业科学》,2021.	present	15	AY598619.2; HQ111456.1; HQ111467.1; HQ111468.1; HQ643415.1; JQ898454.1; KJ865241.1; KP063120.1; KP843580.1; KP862937.1; KU210085.1; MF115424.1; OP933314.1; OP933315.1; OR784346.1		
Pythium angustatum	Pythium angustatum		oomycetes	289598	root rot	根腐病	confirmed	Irwin J, Singh S, Kochman J, et al. Pathogen risks associated with bulk maize imports to australia from the United States of America[J]. A report by technical working group, 1999, 1.	present	9	AY598623.1; HQ643437.1; JX271794.1; JX271799.1; KM280065.1; KP843596.1; KU210460.1; MT473788.1; PQ107654.1		
Pythium aphanidermatum	Pythium aphanidermatum		oomycetes	65070	Pythium stalk rot/damping-off/root rot	腐霉茎腐病/猝倒病/腐霉根腐病	confirmed	Bickel J T, Koehler A M. Review of Pythium species causing damping-off in corn[J]. Plant Health Progress, 2021, 22(3): 219-225.	present	43	LC906640.1; PP835994.1; PV849269.1; PV849270.1; PV849271.1; PV849272.1; PV855754.1; PV928889.1; PV932848.1; PX090916.1; PX138772.1; PX138797.1; PX205201.1; PX614642.1; PX614643.1; PX671483.1; PX671484.1; PX671485.1; PX885054.1; PX972520.1; PX972523.1; PZ027666.1; PZ028374.1; PZ028375.1; PZ188756.1; PZ193173.1; PZ255448.1; PZ255449.1; PZ255450.1; PZ255451.1; PZ380008.1; PZ493317.1; PZ493318.1; PZ501937.1; PZ501938.1; PZ501939.1; PZ501940.1; PZ501941.1; PZ501942.1; PZ501943.1; PZ501944.1; PZ501945.1; PZ746424.1		
Pythium aristosporum	Pythium aristosporum		oomycetes	140044	stalk rot	茎腐病	confirmed	Hou M, Cao Y, Zhang X, et al. Genome-wide association study of maize resistance to Pythium aristosporum stalk rot[J]. Frontiers in Plant Science, 2023, 14: 1239635.	present	43	AY598627.2; MF446817.1; MF446819.1; MF446820.1; MF446821.1; MH890548.1; MK326485.1; MK326542.1; MK326561.1; MK420046.1; MK794677.1; MT337429.1; MT337436.1; OL701302.1; OP050386.1; OP050387.1; OP050388.1; OP050389.1; OP076892.1; OP076937.1; OP076947.1; OP077086.1; OP933076.1; OR120531.1; OR194783.1; OR890036.1; OR890037.1; OR890038.1; PZ810724.1; PZ810725.1; PZ810726.1; PZ810727.1; PZ810729.1; PZ810730.1; PZ810731.1; PZ810732.1; PZ810733.1; PZ810734.1; PZ810736.1; PZ810742.1; PZ810746.1; PZ810748.1; PZ810750.1		
Pythium arrhenomanes	Pythium arrhenomanes		oomycetes	82932	Pythium root rot	腐霉根腐病	confirmed	Deep I W, Lipps P E. Recovery of Pythium arrhenomanes and its virulence to corn[J]. Crop Protection, 1996, 15(1): 85-90.	present	43	AB095040.1; AB095041.1; AB160838.1; AB160839.1; AB160841.1; AB160842.1; AB160844.1; AY598628.1; KP843584.1; KT716813.1; KU209724.1; KU210141.1; KU210507.1; KU210589.1; KU210595.1; KU210870.1; KU210874.1; KY570311.1; LC053669.1; LC053670.1; LC053671.1; LC053672.1; LC053673.1; LC053674.1; LC150551.1; LC160347.1; MF446807.1; MF446813.1; MF446814.1; MH155268.1; MK326469.1; MK326486.1; MK326487.1; MW489840.1; MZ540469.1; MZ540659.1; OR194784.1; OR194785.1; OR194787.1; OR194799.1; OR784340.1; PX447580.1; PX447581.1		
Pythium debaryanum /Globisporangium debaryanum	Globisporangium debaryanum/Pythium debaryanum		oomycetes	231958	seed rot/ seedling blight / root rot	种腐病/苗枯病/根腐病	confirmed	Foley D C. Resistance to Pythium debaryanum in Zea mays seedlings[C]//Proceedings of the Iowa Academy of Science. 1980, 87(4): 134-138. Bickel J T, Koehler A M. Review of Pythium species causing damping-off in corn[J]. Plant Health Progress, 2021, 22(3): 219-225.	present	19	AY243060.1; AY243061.1; AY243062.1; AY243063.1; AY243064.1; AY243065.1; AY598704.2; HQ643519.1; KT429655.1; KU833269.1; KX228092.1; KX396598.1; MF115153.1; MW489834.1; OQ318505.1; OR910652.1; PV849209.1; PV849210.1; PV849212.1		
Pythium graminicola	Pythium graminicola		oomycetes	82937	Pythium root rot	腐霉根腐病主要病原菌	confirmed	Erwin D C, Cameron J W. Susceptibility of five Sweet Com varieties to Pythium graminicola[J]. 1957.	present	43	AY598625.2; OR194798.1; OR194803.1; OR194804.1; OR194808.1; OR194809.1; OR194810.1; OR194811.1; OR194812.1; OR194813.1; OR194814.1; OR194815.1; OR194816.1; OR194817.1; OR194818.1; OR194819.1; OR194820.1; OR194821.1; OR194822.1; OR194823.1; OR194825.1; OR194826.1; OR194827.1; OR194828.1; OR194829.1; OR194830.1; OR194831.1; OR194832.1; OR194833.1; OR194835.1; OR194836.1; OR194837.1; OR194838.1; OR194839.1; OR194840.1; OR194841.1; OR194842.1; OR194843.1; OR194846.1; OR194847.1; OR194849.1; OR194850.1; PQ814186.1		
Pythium helicoides / Phytopythium helicoides	Phytopythium helicoides/Pythium helicoides		oomycetes	126844	stalk rot	茎腐病	confirmed	Xie X Y, Zhou H Z, Fan S S, et al. First report of Phytopythium helicoides causing stalk rot on corn in China[J]. Plant disease, 2021, 105(11): 3766.	present	43	AB108056.1; AB108057.1; AB108058.1; AB108060.1; AB108061.1; AB217659.1; AB217660.1; AB217661.1; AB690611.1; AB690616.1; AB725878.1; AY598665.2; LC798349.1; LC798350.1; OR531151.1; OR531152.1; OR531153.1; OR531154.1; OR531155.1; OR531156.1; OR531196.1; OR531254.1; OR531258.1; OR531261.1; OR531262.1; OR531270.1; OR531271.1; OR531272.1; OR632928.1; PP597241.1; PP597243.1; PP741643.1; PP741644.1; PP976982.1; PQ149064.1; PQ200672.1; PV845136.1; PV845155.1; PV849200.1; PV849201.1; PV849252.1; PV849253.1; PV849254.1		
Pythium inflatum	Pythium inflatum		oomycetes	82938	Maize Stalk Rots/Pythium root rot	玉米茎基腐病/青枯病/腐霉根腐病	confirmed	Yang D E, Jin D M, Wang B, et al. Characterization and mapping of Rpi1, a gene that confers dominant resistance to stalk rot in maize[J]. Molecular genetics and genomics, 2005, 274(3): 229-234.	present	43	AY598626.2; KX228090.1; LC556057.1; LC684548.1; MH023380.1; MK794697.1; MK794699.1; MK794703.1; MK794707.1; MK794710.1; MK794711.1; MK794712.1; MK794723.1; MK794738.1; MK794745.1; MK794748.1; MK794750.1; MK794751.1; MK794757.1; MK794994.1; MK795006.1; MK795056.1; MN905936.1; MN905937.1; MT414940.1; MT754458.1; MT819396.1; MT968528.1; MW025217.1; MW025229.1; MZ540477.1; OP933291.1; OP933292.1; OP933293.1; OP933294.1; OR120587.1; OR120622.1; OR120628.1; OR194725.1; OR194727.1; OR194795.1; OR194796.1; OR194797.1		
Pythium lutarium	Pythium lutarium		oomycetes	289618	root rot	根腐病	confirmed	Acharya, Jyotsna, and Alison E. Robertson. "Effect of allelochemicals from cereal rye cultivar and Pythium lutarium on corn growth and disease." PhytoFrontiers™ 3.4 (2023): 847-854.	present	43	AY598688.1; KU210117.1; KU210120.1; KU210121.1; KU210128.1; KU210158.1; KU210253.1; KU210254.1; KU210331.1; KU210467.1; KU210494.1; KU210496.1; KU210498.1; KU210502.1; KU210504.1; KU210505.1; KU210506.1; KU210574.1; KU210575.1; KU210578.1; KU210579.1; KU210580.1; KU210583.1; KU210587.1; KU210588.1; KU210603.1; KU210702.1; KU211059.1; KU211277.1; KU211278.1; KX346232.1; KY708961.1; MF115257.1; MK326435.1; MK326443.1; MK326444.1; MK326449.1; MK326458.1; MK326475.1; MK326527.1; MN522172.1; OR784332.1; PV082505.1		
Pythium paroecandrum/ Globisporangium paroecandrum	Globisporangium paroecandrum/Pythium paroecandrum		oomycetes	2125995	seed rot	种腐病	confirmed	KONDO N, KODAMA F, AKAI J. Pathogenicity of Pythium species isolated from ungerminated corn seeds planted at a low temperature[J]. Japanese Journal of Phytopathology, 1986, 52(4): 585-589.	present	43	AY598644.2; KU208275.1; KU208339.1; KU208340.1; KU208341.1; KU208357.1; KU208372.1; KU208376.1; KU208377.1; KU208379.1; KU208380.1; KU208381.1; KU208383.1; KU208384.1; KU208386.1; KU208388.1; KU208389.1; KU208404.1; KU208405.1; KU208406.1; KU209341.1; KU209349.1; KU209350.1; KU209351.1; KU210456.1; KU210457.1; KU210463.1; KU210471.1; KU210472.1; KU210513.1; KU210515.1; KU210519.1; KU210520.1; KX788834.1; KY433891.1; MF963042.1; MF963043.1; MG799189.1; MK886856.1; MK910127.1; MZ207918.1; OR484040.1; PZ239895.1		
Pythium pulchrum / Globisporangium pulchrum	Globisporangium pulchrum/Pythium pulchrum		oomycetes	115420	root rot	根腐病	confirmed	Bickel J T, Koehler A M. Review of Pythium species causing damping-off in corn[J]. Plant Health Progress, 2021, 22(3): 219-225.	missing	0		No public marker gene sequence found in NCBI GenBank (2026-08-25)	
Pythium schmitthenneri / Globisporangium schmitthenneri	Globisporangium schmitthenneri/Pythium schmitthenneri		oomycetes	1277646	seedling blight	苗枯病	confirmed	Ellis M L, Paul P A, Dorrance A E, et al. Two new species of Pythium, P. schmitthenneri and P. selbyi pathogens of corn and soybean in Ohio[J]. Mycologia, 2012, 104(2): 477-487.	present	7	JF836870.1; KJ716862.1; MG799193.1; MG799194.1; PQ611592.1; PQ611756.1; PQ615100.1		
Pythium spinosum /Globisporangium spinosum	Globisporangium spinosum /Pythium spinosum		oomycetes	2125998	seed rot	种腐病	confirmed	KONDO N, KODAMA F, AKAI J. Pathogenicity of Pythium species isolated from ungerminated corn seeds planted at a low temperature[J]. Japanese Journal of Phytopathology, 1986, 52(4): 585-589.	present	43	AB108006.1; AB108007.1; AB217665.1; AY598701.2; MG799197.1; OL307779.1; OL307783.1; ON102786.1; ON102787.1; ON113873.1; ON202808.2; OP592246.1; OQ612485.1; OQ875759.1; OQ975665.1; OR120463.1; OR120465.1; OR120468.1; OR120530.1; OR120534.1; OR120550.1; OR120554.1; OR120564.1; OR120566.1; OR120571.1; OR120651.1; OR194626.1; OR194628.1; OR194629.1; OR194631.1; OR194757.1; OR194764.1; OR194824.1; OR194834.1; OR194845.1; OR511522.1; OR604290.1; PP033679.1; PP817607.1; PV390628.1; PZ321508.1; PZ439652.1; PZ810737.1		
Pythium splendens/Globisporangium splendens	Globisporangium splendens/Pythium splendens		oomycetes	82926	seedling blight/ root rot	苗枯病/根腐病	confirmed	Dorrance A E, Berry S A, Lipps P E. Characterization of Pythium spp. from three Ohio fields for pathogenicity on corn and soybean and metalaxyl sensitivity[J]. Plant Health Progress, 2004, 5(1): 10.	present	43	AB468778.1; AY598655.2; LC684532.1; LC684549.1; LC684555.1; LC684560.1; LC684563.1; MH023387.1; MT140122.1; MT645509.1; MT754449.1; MT754456.1; MT754461.1; MT754483.1; MT754509.1; MT758164.1; MT758166.1; MW412819.1; MW412820.1; MW412821.1; MW412822.1; MW412823.1; MW426375.1; MW426379.1; MW426380.1; MW426383.1; ON102783.1; ON102785.1; ON860614.1; OQ338353.1; OQ472517.1; OQ612560.1; OR659761.1; OR659762.1; OR659763.1; OR659764.1; OR659765.1; OR659766.1; OR659767.1; OR659768.1; OR659769.1; PP267712.1; PP267713.1		
Pythium sylvaticum / Globisporangium sylvaticum	Globisporangium sylvaticum/Pythium sylvaticum		oomycetes	82950	seed rot/root rot	种腐病/根腐病	confirmed	Tang X, Chen S, Yan X, et al. First Report of Pythium torulosum Causing Corn Root Rot in Northeastern China[J]. Plant disease, 2021, 105(3): 712-712.	present	43	AB108008.1; AY598645.2; LC901554.1; LC908960.1; OK271185.1; OK271190.1; OL342579.1; OL342580.1; OL342597.1; ON678083.1; ON678084.1; ON678085.1; ON678086.1; OQ724651.1; OR120756.1; OR120759.1; OR120761.1; OR120765.1; OR194633.1; OR194728.1; OR194730.1; OR194731.1; OR194744.1; OR194766.1; OR194768.1; OR194769.1; OR194844.1; OR511524.1; OR511536.1; OR633311.1; PP817299.1; PP835985.1; PQ331070.1; PQ331071.1; PQ331072.1; PQ331073.1; PV197171.1; PV248832.1; PV248833.1; PV594456.1; PX351718.1; PX351719.1; PZ484507.1		
Pythium torulosum	Pythium torulosum		oomycetes	4799	root rot	根腐病	confirmed	Tang X, Chen S, Yan X, et al. First Report of Pythium torulosum Causing Corn Root Rot in Northeastern China[J]. Plant disease, 2021, 105(3): 712-712.	present	43	AB095046.1; AB160846.1; AY598624.2; MK795031.1; MK795037.1; MK795045.1; MK795047.1; MK795048.1; MK795050.1; MK795053.1; MK795058.1; MT414939.1; MZ540564.1; MZ540565.1; MZ540567.1; MZ540570.1; MZ540572.1; OK257561.1; OK257562.1; OP933359.1; OP933360.1; OP933361.1; OQ678451.1; OR120524.1; OR120559.1; OR120572.1; OR120573.1; OR120580.1; OR120635.1; OR194618.1; OR194634.1; OR194637.1; OR194640.1; OR194642.1; OR194658.1; OR194669.1; OR194723.1; OR194724.1; OR194726.1; OR194773.1; OR784401.1; PP835995.1; PZ810747.1		
