species	taxid	category	search_string	hits	unique_pmids
Polerovirus MAYMV	1856642	viruses	"Polerovirus MAYMV"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Polerovirus MYDVRMV	2170101	viruses	"Polerovirus MYDVRMV"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Potyvirus halapensis	31742	viruses	"Potyvirus halapensis"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Potyvirus pennisseti	221262	viruses	"Potyvirus pennisseti"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Potyvirus sacchari	12224	viruses	"Potyvirus sacchari"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Potyvirus sorghitessellati	32619	viruses	"Potyvirus sorghitessellati"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Potyvirus zeananus	12203	viruses	"Potyvirus zeananus"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Potyvirus zeatessellati	115232	viruses	"Potyvirus zeatessellati"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Tenuivirus oryzaclavatae	3052763	viruses	"Tenuivirus oryzaclavatae"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Tenuivirus zeae	3052767	viruses	"Tenuivirus zeae"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Totivirus jyukyu	1756285	viruses	"Totivirus jyukyu"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Tritimovirus tritici	31741	viruses	"Tritimovirus tritici"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Waikavirus zeae	51354	viruses	"Waikavirus zeae"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Zeavirus zeae	137556	viruses	"Zeavirus zeae"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Agroathelia rolfsii (Sclerotium rolfsii, Athelia rolfsii)	39291	fungi	"Agroathelia rolfsii (Sclerotium rolfsii, Athelia rolfsii)"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Alternaria alternata	5599	fungi	"Alternaria alternata"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	55	55
Alternaria burnsii	1187904	fungi	"Alternaria burnsii"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Alternaria tenuissima	119927	fungi	"Alternaria tenuissima"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	8	8
Ascochyta maydis	NOT_VERIFIED	fungi	"Ascochyta maydis"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Ascochyta zeae	NOT_VERIFIED	fungi	"Ascochyta zeae"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Aspergillus flavus	5059	fungi	"Aspergillus flavus"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	863	863
Aspergillus glaucus	41413	fungi	"Aspergillus glaucus"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	5	5
Aspergillus niger	5061	fungi	"Aspergillus niger"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	298	298
Aspergillus parasiticus	5067	fungi	"Aspergillus parasiticus"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	120	120
Aspergillus tamarii	41984	fungi	"Aspergillus tamarii"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	4	4
Bipolaris maydis (Cochliobolus heterostrophus)	5016	fungi	"Bipolaris maydis (Cochliobolus heterostrophus)"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Bipolaris sorokiniana (Cochliobolus sativus)	45130	fungi	"Bipolaris sorokiniana (Cochliobolus sativus)"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Bipolaris zeicola (Cochliobolus carbonum)	5017	fungi	"Bipolaris zeicola (Cochliobolus carbonum)"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
